Title,Year,imdbID,tmdbID
Expend4bles,2023,tt3291150,299054
The Expendables 3,2014,tt2333784,138103
The Expendables 2,2012,tt1764651,76163
The Expendables,2010,tt1320253,27578
Red Notice,2021,tt7991608,512195
Haywire,2011,tt1506999,70435
Broken City,2013,tt1235522,98357
American Sniper,2014,tt2179136,190859
A Single Shot,2013,tt1540741,159932
Triangle,2009,tt1187064,26466
Casino Royale,2006,tt0381061,36557
6 Underground,2019,tt8106534,509967
Man of Steel,2013,tt0770828,49521
Parker,2013,tt1904996,119283
Kick-Ass 2,2013,tt1650554,59859
Kick-Ass,2010,tt1250777,23483
The Suicide Squad,2021,tt6334354,436969
Focus,2015,tt2381941,256591
The Dark Knight Rises,2012,tt1345836,49026
Batman Begins,2005,tt0372784,272
Kill Bill: Vol. 2,2004,tt0378194,393
Kill Bill: Vol. 1,2003,tt0266697,24
The Book of Eli,2010,tt1037705,20504
Non-Stop,2014,tt2024469,225574
Zodiac,2007,tt0443706,1949
Man on Fire,2004,tt0328107,9509
Deadpool 2,2018,tt5463162,383498
Deadpool,2016,tt1431045,293660
Homefront,2013,tt2312718,204082
Blitz,2011,tt1297919,55846
Unstoppable,2010,tt0477080,44048
Contraband,2012,tt1524137,77866
2 Fast 2 Furious,2003,tt0322259,584
The Furies,2019,tt8228172,528091
Pulp Fiction,1994,tt0110912,680
The Hunt,2020,tt8244784,514847
Prisoners,2013,tt1392214,146233
The Protector,2005,tt0427954,8982
Unknown,2011,tt1401152,48138
Crank: High Voltage,2009,tt1121931,15092
RED 2,2013,tt1821694,146216
RED,2010,tt1245526,39514
Atlas,2024,tt14856980,614933
Sniper: Assassin's End,2020,tt12305696,702936
The Matrix Revolutions,2003,tt0242653,605
Atomic Blonde,2017,tt2406566,341013
Spy,2015,tt3079380,238713
The Fast and the Furious,2001,tt0232500,9799
The Accountant,2016,tt2140479,302946
Revenge,2018,tt6738136,467938
Crank,2006,tt0479884,1948
Drive,2011,tt0780504,64690
Mission: Impossible - Fallout,2018,tt4912910,353081
The Bourne Identity,2002,tt0258463,2501
The Bourne Supremacy,2004,tt0372183,2502
The Bourne Ultimatum,2007,tt0440963,2503
Jason Bourne,2016,tt4196776,324668
